Marque,Modele,Annee_modele,Km,Date_premiere_mise_en_circulation,Carburant,Boite_vitesse,Puissance,Critere_air,Couleur,Type_vehicule,Pays,Prix_neuf,Prix_occassion
Audi,Q5,2024,53285,2026-09-18,Essence,Automatique,110,Euro 6,Bleu,Monospace,Espagne,65000,63745.0
Tesla,Model X,2014,136632,2017-02-01,Diesel,Automatique,110,Euro 4,Bleu,Break,USA,120000,70167.0
Tesla,Model X,2016,90147,2019-04-02,Hybride,Manuelle,110,Euro 1,Gris,Crossover,Japon,120000,83147.0
Citroen,C5 Aircross,2013,101009,2014-03-18,Gaz,Manuelle,200,Euro 4,Gris,Crossover,Espagne,35000,21945.0
Toyota,Yaris,2018,173267,2021-04-17,Diesel,Automatique,110,Euro 5,Blanc,Berline,Italie,19000,14365.0
Volkswagen,Tiguan,2012,243649,2014-09-05,Gaz,Manuelle,110,Euro 4,Noir,SUV,Espagne,40000,17040.0
Mercedes,Classe C,2015,179915,2018-10-14,Diesel,Manuelle,110,Euro 5,Noir,SUV,France,55000,31416.0
Dacia,Duster,2006,17648,2009-08-28,Gaz,Manuelle,150,Euro 3,Noir,Monospace,France,19900,10305.0
Dacia,Duster,2008,110882,2010-01-22,Gaz,Manuelle,130,Euro 3,Rouge,SUV,France,19900,9307.0
Dacia,Spring,2010,231826,2012-11-19,Essence,Automatique,150,Euro 4,Bleu,Berline,Allemagne,22000,8575.0
Dacia,Spring,2007,118566,2010-09-27,Diesel,Manuelle,110,Euro 3,Blanc,Monospace,Japon,22000,8778.0
Tesla,Model S,2016,238186,2019-10-17,Essence,Manuelle,200,Euro 5,Blanc,Monospace,Espagne,95000,50880.0
Volkswagen,Golf,2017,198580,2018-05-18,Essence,Manuelle,90,Euro 5,Rouge,SUV,Italie,25000,14940.0
Hyundai,Tucson,2019,88307,2021-07-19,Electrique,Manuelle,110,Euro 1,Rouge,Monospace,USA,35000,31647.0
Ford,Fiesta,2014,30940,2016-06-02,Hybride,Automatique,90,Euro 1,Bleu,Monospace,USA,18000,16013.0
Tesla,Model X,2012,68801,2015-04-10,Gaz,Automatique,150,Euro 4,Bleu,Berline,USA,120000,72500.0
BMW,Serie 3,2009,99838,2011-10-28,Gaz,Automatique,110,Euro 3,Rouge,Break,USA,45000,22816.0
Citroen,C4,2007,56201,2007-11-26,Essence,Manuelle,90,Euro 3,Blanc,Monospace,France,24000,10516.0
Tesla,Model S,2009,104852,2011-12-21,Gaz,Automatique,110,Euro 3,Gris,Break,France,95000,44820.0
Hyundai,Tucson,2007,89632,2009-04-07,Diesel,Automatique,90,Euro 3,Rouge,Break,Allemagne,35000,15539.0
Mercedes,Classe A,2023,95438,2025-12-10,Essence,Automatique,110,Euro 6,Blanc,SUV,Japon,38000,35288.0
Kia,Ceed,2021,182927,2024-07-29,Electrique,Automatique,90,Euro 1,Bleu,Break,Allemagne,23000,22557.0
Tesla,Model 3,2019,184288,2020-11-08,Hybride,Manuelle,110,Euro 1,Blanc,SUV,Espagne,45000,32897.0
BMW,Serie 5,2007,74465,2010-03-26,Essence,Automatique,150,Euro 3,Rouge,SUV,USA,65000,28350.0
Toyota,Corolla,2020,76424,2022-03-31,Gaz,Automatique,90,Euro 6,Blanc,Break,USA,28000,26244.0
Renault,Clio,2014,116211,2016-02-20,Hybride,Manuelle,200,Euro 1,Rouge,Monospace,Allemagne,17000,12980.0
Audi,Q5,2016,247037,2016-11-24,Essence,Manuelle,90,Euro 5,Rouge,Break,France,65000,33748.0
Ford,Focus,2008,59163,2010-06-19,Essence,Automatique,130,Euro 3,Blanc,SUV,Italie,26000,13301.0
Toyota,RAV4,2009,19278,2012-07-07,Diesel,Automatique,90,Euro 3,Blanc,Crossover,Espagne,37000,21546.0
Kia,Sportage,2022,88592,2025-08-30,Electrique,Automatique,130,Euro 1,Bleu,Berline,Japon,34000,36378.0
Citroen,C4,2013,224526,2013-02-26,Diesel,Manuelle,90,Euro 4,Bleu,Monospace,Espagne,24000,11205.0
Kia,Ceed,2007,181981,2007-04-25,Essence,Manuelle,130,Euro 3,Gris,Monospace,Japon,23000,7223.0
Renault,Clio,2013,159953,2016-08-16,Diesel,Manuelle,110,Euro 4,Blanc,SUV,Espagne,17000,9412.0
Peugeot,5008,2005,31067,2005-06-27,Gaz,Automatique,110,Euro 3,Rouge,Berline,France,42000,18640.0
BMW,Serie 5,2007,20235,2009-11-09,Essence,Manuelle,130,Euro 3,Rouge,Crossover,France,65000,30691.0
Tesla,Model 3,2023,168378,2026-06-18,Gaz,Automatique,110,Euro 6,Bleu,Break,Japon,45000,40176.0
Hyundai,Tucson,2022,39091,2023-02-25,Gaz,Manuelle,150,Euro 6,Noir,Crossover,Italie,35000,34580.0
Hyundai,Tucson,2014,161074,2016-03-17,Gaz,Automatique,90,Euro 4,Noir,Monospace,Allemagne,35000,21276.0
Audi,A6,2007,236910,2009-02-03,Diesel,Manuelle,90,Euro 3,Gris,SUV,Japon,72000,18954.0
Renault,Megane,2018,24514,2019-05-30,Diesel,Manuelle,150,Euro 5,Noir,Crossover,Italie,25000,21200.0
Dacia,Duster,2012,176140,2015-01-05,Diesel,Automatique,90,Euro 4,Rouge,Crossover,France,19900,10716.0
Peugeot,308,2018,78478,2018-04-02,Hybride,Automatique,150,Euro 1,Noir,SUV,Allemagne,30000,27375.0
BMW,Serie 1,2013,236011,2016-07-02,Essence,Manuelle,200,Euro 4,Noir,Berline,Japon,35000,15840.0
Toyota,Hilux,2018,176946,2020-09-24,Gaz,Manuelle,150,Euro 5,Blanc,Monospace,USA,45000,31200.0
Toyota,RAV4,2013,37652,2013-06-04,Essence,Manuelle,90,Euro 4,Gris,Break,France,37000,23616.0
Ford,Fiesta,2019,53464,2021-09-29,Gaz,Manuelle,130,Euro 5,Gris,Crossover,USA,18000,16640.0
Mercedes,GLC,2021,244030,2024-01-08,Diesel,Automatique,90,Euro 6,Bleu,Crossover,Japon,85000,58893.0
Renault,Captur,2016,142887,2017-01-15,Hybride,Automatique,110,Euro 1,Gris,SUV,France,28000,21142.0
Volkswagen,Passat,2016,70144,2017-01-14,Gaz,Automatique,130,Euro 5,Gris,Crossover,Japon,36000,28152.0
Tesla,Model S,2015,205962,2017-07-19,Diesel,Manuelle,110,Euro 5,Blanc,Crossover,France,95000,50933.0
Tesla,Model 3,2023,103157,2023-04-06,Essence,Manuelle,200,Euro 6,Rouge,Monospace,Italie,45000,40020.0
Ford,Fiesta,2018,105028,2020-10-28,Essence,Manuelle,110,Euro 5,Blanc,SUV,France,18000,13032.0
Toyota,Hilux,2022,26810,2025-12-13,Electrique,Manuelle,90,Euro 1,Rouge,Berline,Japon,45000,46828.0
BMW,Serie 3,2022,127524,2022-03-18,Hybride,Manuelle,110,Euro 1,Noir,Monospace,Espagne,45000,40262.0
Toyota,RAV4,2022,28427,2022-08-07,Diesel,Automatique,110,Euro 6,Noir,Monospace,Japon,37000,36892.0
Tesla,Model S,2023,248226,2025-09-17,Hybride,Manuelle,150,Euro 1,Bleu,SUV,Italie,95000,72635.0
Citroen,C3,2013,93548,2014-08-15,Diesel,Automatique,90,Euro 4,Gris,Berline,USA,16000,10962.0
Renault,Captur,2010,111739,2011-12-16,Gaz,Automatique,150,Euro 4,Gris,Break,France,28000,15510.0
Dacia,Spring,2016,180729,2018-02-04,Diesel,Automatique,110,Euro 5,Blanc,SUV,Japon,22000,14558.0
BMW,Serie 3,2007,28106,2007-06-20,Gaz,Manuelle,110,Euro 3,Noir,Crossover,Italie,45000,22372.0
Audi,Q5,2006,183749,2008-04-14,Essence,Manuelle,150,Euro 3,Gris,Monospace,USA,65000,18340.0
Hyundai,i20,2016,164273,2017-06-09,Essence,Manuelle,90,Euro 5,Bleu,Crossover,Japon,19500,11640.0
Peugeot,5008,2022,88814,2025-06-14,Essence,Manuelle,130,Euro 6,Blanc,Break,Allemagne,42000,36378.0
Ford,Focus,2012,74872,2013-06-17,Hybride,Automatique,130,Euro 1,Bleu,Monospace,Espagne,26000,18411.0
Audi,A6,2009,230728,2011-09-27,Diesel,Automatique,110,Euro 3,Rouge,Berline,France,72000,24032.0
Renault,Captur,2016,203005,2017-11-21,Gaz,Manuelle,90,Euro 5,Blanc,Break,Espagne,28000,17024.0
Peugeot,308,2016,118147,2016-03-12,Essence,Manuelle,200,Euro 5,Noir,Crossover,Allemagne,30000,20150.0
Ford,Fiesta,2024,34821,2025-10-31,Diesel,Manuelle,90,Euro 6,Gris,Crossover,Espagne,18000,18333.0
BMW,X5,2007,110147,2008-07-16,Diesel,Automatique,150,Euro 3,Blanc,SUV,Italie,80000,31730.0
Ford,Fiesta,2016,206597,2018-03-15,Essence,Manuelle,130,Euro 5,Rouge,SUV,Allemagne,18000,10248.0
Tesla,Model X,2015,68381,2016-02-17,Hybride,Manuelle,130,Euro 1,Rouge,Monospace,Allemagne,120000,83281.0
Audi,A6,2021,62310,2023-05-29,Hybride,Manuelle,150,Euro 1,Noir,Berline,USA,72000,65025.0
Renault,Megane,2005,230627,2006-07-08,Gaz,Manuelle,90,Euro 3,Bleu,Crossover,Espagne,25000,5480.0
Kia,Sportage,2005,126497,2007-12-31,Essence,Manuelle,130,Euro 3,Blanc,Berline,Allemagne,34000,10633.0
Dacia,Sandero,2014,151398,2014-11-02,Essence,Manuelle,90,Euro 4,Rouge,Berline,USA,15900,8690.0
Audi,A4,2010,19101,2011-08-09,Essence,Manuelle,150,Euro 4,Bleu,Monospace,Espagne,48000,27645.0
Tesla,Model 3,2013,44901,2014-07-23,Gaz,Manuelle,90,Euro 4,Blanc,Break,USA,45000,29862.0
Tesla,Model S,2007,222975,2009-05-14,Gaz,Automatique,130,Euro 3,Blanc,SUV,USA,95000,26946.0
Citroen,C5 Aircross,2011,122687,2014-12-05,Hybride,Manuelle,150,Euro 1,Noir,Crossover,France,35000,19355.0
Renault,Talisman,2007,216739,2009-09-10,Diesel,Automatique,90,Euro 3,Gris,Monospace,Allemagne,40000,12012.0
Renault,Megane,2019,205865,2020-05-13,Hybride,Manuelle,90,Euro 1,Gris,SUV,France,25000,18785.0
Kia,Sportage,2014,200319,2017-11-12,Essence,Manuelle,90,Euro 4,Bleu,SUV,France,34000,16950.0
Volkswagen,Arteon,2020,124758,2022-01-01,Gaz,Manuelle,130,Euro 6,Gris,Crossover,Italie,48000,38608.0
Ford,Fiesta,2017,140020,2019-11-28,Essence,Manuelle,90,Euro 5,Gris,Crossover,Espagne,18000,11635.0
Audi,Q5,2006,206190,2008-05-30,Gaz,Automatique,90,Euro 3,Noir,Monospace,USA,65000,18044.0
Kia,Ceed,2009,151968,2009-04-08,Gaz,Automatique,130,Euro 3,Noir,SUV,France,23000,11120.0
Toyota,Corolla,2011,43866,2013-07-22,Diesel,Automatique,130,Euro 4,Blanc,Crossover,Allemagne,28000,17841.0
Mercedes,Classe A,2020,19490,2021-12-23,Diesel,Manuelle,150,Euro 6,Rouge,SUV,USA,38000,34365.0
Citroen,C4,2014,205559,2015-05-14,Gaz,Manuelle,200,Euro 4,Gris,Break,Allemagne,24000,13750.0
BMW,X5,2006,249743,2009-10-01,Diesel,Automatique,110,Euro 3,Bleu,Monospace,Japon,80000,18282.0
Renault,Megane,2021,144029,2024-09-18,Diesel,Automatique,150,Euro 6,Noir,Break,Allemagne,25000,21945.0
Citroen,C4,2022,144572,2022-02-26,Electrique,Automatique,130,Euro 1,Rouge,SUV,Espagne,24000,25840.0
Peugeot,308,2015,13111,2018-10-31,Hybride,Automatique,90,Euro 1,Bleu,Berline,USA,30000,25848.0
Dacia,Sandero,2014,125644,2014-01-29,Essence,Automatique,110,Euro 4,Gris,Monospace,Italie,15900,10440.0
Tesla,Model X,2019,10689,2022-01-25,Diesel,Manuelle,110,Euro 5,Gris,Berline,Italie,120000,101724.0
Dacia,Duster,2010,131068,2011-05-30,Hybride,Manuelle,130,Euro 1,Blanc,Monospace,France,19900,10890.0
Renault,Megane,2015,102208,2015-08-12,Hybride,Automatique,90,Euro 1,Noir,Break,Allemagne,25000,19467.0
Volkswagen,Golf,2018,186940,2021-10-11,Diesel,Manuelle,90,Euro 5,Rouge,Monospace,USA,25000,16576.0
Peugeot,3008,2005,117819,2006-04-06,Gaz,Manuelle,200,Euro 3,Bleu,SUV,Allemagne,35000,12320.0
Audi,Q5,2019,40723,2022-04-13,Hybride,Manuelle,200,Euro 1,Blanc,Monospace,USA,65000,56700.0
BMW,Serie 3,2022,112007,2025-10-07,Diesel,Automatique,150,Euro 6,Gris,Monospace,Japon,45000,40255.0
Kia,Sportage,2019,30949,2021-07-24,Essence,Automatique,110,Euro 5,Rouge,SUV,Italie,34000,29602.0
Citroen,C4,2014,126008,2017-09-15,Gaz,Automatique,150,Euro 4,Noir,SUV,Allemagne,24000,16820.0
Renault,Captur,2007,52342,2008-04-18,Gaz,Manuelle,110,Euro 3,Blanc,Monospace,Espagne,28000,13464.0
Renault,Megane,2007,245913,2008-05-17,Essence,Manuelle,150,Euro 3,Blanc,SUV,Japon,25000,6375.0
Volkswagen,Golf,2016,244465,2018-10-15,Hybride,Manuelle,150,Euro 1,Rouge,SUV,Allemagne,25000,15340.0
Citroen,C3,2013,158816,2016-08-31,Hybride,Automatique,110,Euro 1,Noir,SUV,USA,16000,11492.0
Citroen,C4,2015,119397,2017-03-19,Gaz,Manuelle,110,Euro 5,Rouge,Crossover,Italie,24000,16492.0
Kia,Rio,2016,207720,2016-09-07,Diesel,Automatique,150,Euro 5,Gris,Break,Japon,18900,12544.0
Audi,A4,2007,61674,2009-07-01,Essence,Manuelle,90,Euro 3,Blanc,Monospace,Italie,48000,20597.0
Kia,Ceed,2009,37062,2012-02-19,Diesel,Manuelle,90,Euro 3,Blanc,Monospace,France,23000,12428.0
Renault,Clio,2012,220290,2013-09-30,Essence,Manuelle,200,Euro 4,Gris,Crossover,Espagne,17000,7560.0
Kia,Rio,2018,138834,2021-12-18,Essence,Manuelle,200,Euro 5,Bleu,Break,Espagne,18900,13731.0
Ford,Fiesta,2013,27791,2016-12-12,Gaz,Automatique,200,Euro 4,Blanc,Break,USA,18000,15275.0
Mercedes,Classe E,2007,96969,2010-02-27,Gaz,Manuelle,200,Euro 3,Bleu,Crossover,France,75000,31400.0
Volkswagen,Tiguan,2018,221762,2018-09-08,Diesel,Automatique,130,Euro 5,Bleu,Berline,Japon,40000,25980.0
Toyota,Yaris,2007,176833,2007-07-03,Gaz,Automatique,200,Euro 3,Blanc,Berline,Japon,19000,7840.0
Tesla,Model S,2005,237937,2007-03-18,Essence,Automatique,200,Euro 3,Bleu,Break,Japon,95000,19600.0
Kia,Ceed,2020,186962,2023-06-21,Gaz,Manuelle,110,Euro 6,Rouge,Monospace,USA,23000,17920.0
Dacia,Spring,2007,105477,2008-06-23,Diesel,Automatique,200,Euro 3,Noir,Crossover,Japon,22000,10140.0
Hyundai,i20,2016,192955,2018-05-10,Hybride,Automatique,110,Euro 1,Bleu,Crossover,Japon,19500,14592.0
Mercedes,Classe C,2010,59115,2013-11-01,Diesel,Manuelle,150,Euro 4,Blanc,Crossover,Espagne,55000,29945.0
Citroen,C4,2009,13600,2010-06-01,Gaz,Automatique,90,Euro 3,Bleu,Break,France,24000,15336.0
Tesla,Model X,2012,62996,2014-01-12,Gaz,Automatique,150,Euro 4,Bleu,Berline,Allemagne,120000,72500.0
Mercedes,Classe C,2021,91811,2023-06-08,Essence,Automatique,130,Euro 6,Noir,SUV,France,55000,46986.0
Audi,A4,2020,139448,2022-03-06,Electrique,Manuelle,130,Euro 1,Blanc,Break,Japon,48000,40725.0
Dacia,Sandero,2010,105909,2011-03-09,Hybride,Manuelle,150,Euro 1,Rouge,Monospace,Espagne,15900,9792.0
Volkswagen,Passat,2010,194686,2012-03-15,Diesel,Automatique,90,Euro 4,Rouge,Break,Japon,36000,15171.0
Toyota,Yaris,2009,134922,2010-03-18,Gaz,Automatique,90,Euro 3,Gris,Break,Italie,19000,9828.0
Peugeot,3008,2019,68375,2021-12-18,Diesel,Manuelle,90,Euro 5,Noir,Monospace,France,35000,28361.0
Toyota,Corolla,2009,206117,2012-03-24,Diesel,Automatique,90,Euro 3,Blanc,Berline,France,28000,10815.0
Ford,Fiesta,2006,55158,2006-06-25,Gaz,Manuelle,110,Euro 3,Gris,SUV,France,18000,8446.0
Toyota,Hilux,2012,181092,2014-04-29,Diesel,Manuelle,130,Euro 4,Blanc,Berline,USA,45000,21298.0
Toyota,Corolla,2011,191528,2014-02-26,Diesel,Automatique,150,Euro 4,Rouge,Crossover,USA,28000,13230.0
Peugeot,208,2019,230798,2022-12-15,Electrique,Automatique,110,Euro 1,Gris,Monospace,USA,18000,16182.0
Citroen,C4,2017,54840,2019-11-01,Gaz,Manuelle,200,Euro 5,Bleu,Break,France,24000,20350.0
Mercedes,Classe C,2016,237982,2017-07-29,Diesel,Automatique,90,Euro 5,Bleu,Break,Espagne,55000,30687.0
Tesla,Model X,2018,218219,2018-07-04,Gaz,Manuelle,150,Euro 5,Gris,Crossover,Japon,120000,75030.0
